,CONTACT_ID,no_of_sales_12M_1,no_of_Redemption_12M_1,no_of_sales_12M_10K,no_of_Redemption_12M_10K,no_of_funds_sold_12M_1,no_of_funds_redeemed_12M_1,no_of_fund_sales_12M_10K,no_of_funds_Redemption_12M_10K,no_of_assetclass_sold_12M_1,no_of_assetclass_redeemed_12M_1,no_of_assetclass_sales_12M_10K,no_of_assetclass_Redemption_12M_10K,No_of_fund_curr,No_of_asset_curr,AUM,sales_curr,sales_12M,redemption_curr,redemption_12M,new_Fund_added_12M,sales_2019,new_fund_2019,CustomerID,Firm ID,Office ID,Channel,Sub channel,Firm name
0,0047433,21.0,38.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0,1.0,237480.11,250.0,19682.0,-1496.745,-102496.165,0.0,18633.105,0.0,240,1688552,85101152293608716061,National Broker-Dealer,NACS,"UBS Financial Services, Inc."
1,4461312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4970,85202161074527509544,17754050965,Dual,IBD,Charles Schwab Investor Services
2,4491079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5612,1655890,85102103583371489832,Independent Dealer,RIA,The O.N. Equity Sales Company
3,0107408,20.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,57943.0,5459.0,52484.0,0.0,0.0,1.0,93212.0,1.0,543,0033509,85102113063786149939,Independent Dealer,IBD,"Northwestern Mutual Investment Services, LLC"
4,85101140503769936458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7398,1092180,85201140503766736151,Independent Dealer,RIA,"Berthel, Fisher & Co. Financial Services, Inc."
5,0077354,71.0,55.0,20.0,4.0,7.0,7.0,6.0,4.0,2.0,2.0,2.0,2.0,12.0,2.0,0.0,46936.63,1274249.925,-18231.645,-178484.29,2.0,467693.045,0.0,402,1567450,15674501638,National Broker-Dealer,NACS,Merrill Lynch
6,0339286,16.0,16.0,2.0,0.0,5.0,5.0,2.0,0.0,3.0,3.0,1.0,0.0,20.0,4.0,2649249.57,0.0,175442.49,-20488.06,-56948.29,2.0,106907.08,0.0,1645,1567450,15674500229,National Broker-Dealer,NACS,Merrill Lynch
7,0332592,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,9737.11,0.0,0.0,0.0,2971.72,0.0,1587,9000166,85202120653527821669,Independent Dealer,NACS,Wells Fargo Advisors
8,85202131213651223170,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10060.8,0.0,-6752.526579,0.0,0.0,0.0,9558,1948520,17993101203,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
9,4301594,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,981.87,-14232.47,-62091.95,1.0,10000.0,1.0,2151,9000166,90001660063,Independent Dealer,NACS,Wells Fargo Advisors
10,85102150753418532658,71.0,15.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,46290.81,935.8,18440.89,-1.95,-5029.65,1.0,48709.05,2.0,8248,1246425,12464250631,Independent Dealer,IBD,"AXA Advisors, LLC"
11,0207147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836,0001438,85102113783465115432,Independent Dealer,IBD,"Securities America, Inc."
12,85201141244914165761,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,153.55,0.0,-2442.43,1.0,930.45,0.0,8946,1471422,85102141244910561933,Independent Dealer,IBD,Edward Jones
13,85102131724377951377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8049,1804844,85202131723921184684,Independent Dealer,IBD,Hilltop Securities Inc
14,85202123096934315268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9508,3004728,00033010338,Independent Dealer,RIA,Fidelity Brokerage Services LLC
15,85202123353699687291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9517,0023422,85102123353696865573,Independent Dealer,IBD,PlanMember Securities Corp.
16,0350840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807,9000166,90001660042,Independent Dealer,NACS,Wells Fargo Advisors
17,4342342,71.0,280.0,40.0,11.0,6.0,9.0,2.0,3.0,4.0,4.0,2.0,2.0,9.0,3.0,0.0,80077.425,849337.675,-9654.41,-553608.835,1.0,926689.254968,1.0,2891,0032103,10761181003737678063,Independent Dealer,NACS,"Wells Fargo Advisors Financial Network, LLC"
18,0109686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557,1076974,10769740654,Independent Dealer,IBD,Robert W. Baird & Co. Inc.
19,10751172524520441998,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12447.0,0.0,1667.0,0.0,0.0,0.0,489.0,0.0,6044,3004299,10761172524513498061,Independent Dealer,IBD,"Sagepoint Financial, Inc."
20,4385076,7.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5344.84,0.0,-10138.33,1.0,2524.96,1.0,3629,1036815,10761191695006308260,Independent Dealer,IBD,"Woodbury Financial Services, Inc."
21,0248271,32.0,9.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,247470.76,48.75,8707.44,-2000.0,-12471.88,0.0,847.74,0.0,998,1948520,17993108048,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
22,85201130504857178642,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,78845.95,0.0,0.0,-51.95,-19342.62,0.0,162026.76,0.0,8766,0011079,10751190513753194928,Independent Dealer,IBD,"Pruco Securities, LLC"
23,85202140353937763190,2.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,236368.14,0.0,932.58,0.0,-10510.83,1.0,0.0,0.0,9658,85201112683918276481,10761180077595816428,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
24,4338794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,169564.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802,85202140775389392122,85101140775390563151,Independent Dealer,IBD,"Lion Street Financial, LLC"
25,4421705,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,15000.0,0.0,0.0,0.0,863959.105,1.0,4240,9000166,90001660584,Independent Dealer,NACS,Wells Fargo Advisors
26,85101141754551705801,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4727.07,0.0,458.86,1.0,7459,1471422,85101141754547404177,Independent Dealer,IBD,Edward Jones
27,85201103804058131420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8488,1423927,85202103804053172021,Independent Dealer,IBD,Money Concepts Capital Corp.
28,4371164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3414,0001194,10761182745881858079,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
29,4442998,1.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,442292.465,0.0,9795.31,-21955.89,-26932.2,0.0,657946.06,0.0,4618,1948520,17993101096,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
30,10751172274140853094,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16911.35,0.0,17000.0,0.0,-5588.65,0.0,0.0,0.0,6029,85202162204223054237,10761172274137606516,Independent Dealer,IBD,SA Stone Wealth Management
31,85101120603604318575,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1049.38,0.0,0.0,0.0,7187,1576620,16008021014,Independent Dealer,IBD,"MML Investors Services, LLC"
32,4462472,93.0,18.0,16.0,2.0,8.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,14.0,3.0,1799352.58,15614.375,823419.855,-10534.64,-45249.815,2.0,663611.55,0.0,4991,9000166,90001663435,Independent Dealer,NACS,Wells Fargo Advisors
33,85102150813727937276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8252,1092180,85201143223908609948,Independent Dealer,RIA,"Berthel, Fisher & Co. Financial Services, Inc."
34,4314571,31.0,27.0,6.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,2.0,525746.48,0.0,165638.82,-16539.21,-74792.86,0.0,24192.47,0.0,2357,85201112683918276481,00320980093,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
35,0190899,11.0,9.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,8945.65,0.0,-46113.41,0.0,437173.0,0.0,790,9000166,90001660124,Independent Dealer,NACS,Wells Fargo Advisors
36,85101110805781504597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7049,1171547,11715470564,Independent Dealer,NACS,RBC Wealth Management
37,4435053,46.0,55.0,0.0,1.0,7.0,14.0,0.0,1.0,3.0,3.0,0.0,1.0,11.0,2.0,280976.565,2745.28,38862.67,-11823.975,-62935.545,2.0,98589.905,0.0,4446,0001194,85202140234907617140,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
38,4461878,48.0,164.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,0.0,751.935,190734.220565,-576962.749834,-1371865.488497,1.0,321001.542348,0.0,4981,1567450,15674501511,National Broker-Dealer,NACS,Merrill Lynch
39,4484671,9.0,54.0,0.0,2.0,4.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,8.0,4.0,305862.300305,0.0,14121.324784,-3.505,-77980.610125,0.0,2134.93,0.0,5465,0001194,85101141923774243800,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
40,10751182883962425731,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1036.89,0.0,964.89,0.0,0.0,0.0,0.0,0.0,6270,3004865,85202142594475626744,Independent Dealer,IBD,"Arete Wealth Management, LLC"
41,85102112166080334692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18263.03,0.0,0.0,0.0,0.0,0.0,309777.0,4.0,7847,0001194,00011941560,Independent Dealer,IBD,"Ameriprise Financial Services, Inc."
42,10761172185051616862,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,8281.115,334.06,895.385,0.0,-4098.36,1.0,7160.94,0.0,6596,1471422,85102140963268636087,Independent Dealer,IBD,Edward Jones
43,0983908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,1171547,11715470827,Independent Dealer,NACS,RBC Wealth Management
44,0037809,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,290006.02,0.0,-406657.63,1.0,142841.425,1.0,177,1948520,17993101315,National Broker-Dealer,NACS,Morgan Stanley Wealth Management
45,85102113713647083972,14.0,11.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,149550.723741,2628.21,52276.46,-583.06,-53258.99,0.0,59803.48,1.0,7907,0022885,10761183314082729895,Independent Dealer,IBD,LPL Financial LLC
46,4334987,89.0,67.0,30.0,6.0,6.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,18.0,4.0,3350949.047975,381533.56,1455895.149992,-4188.309617,-266381.805017,0.0,1627109.403086,0.0,2746,85201112683918276481,85101130555891232992,Independent Dealer,NACS,Wells Fargo Banking & Investment Services
